Year	Week	Y_LT5,T,NR,PL
2018	45	33.0
2018	46	51.0
2018	47	21.0
2018	48	25.0
2018	49	36.0
2018	50	32.0
2018	51	26.0
2018	52	25.0
2018	53	NaN

2019	1	47.0
2019	2	39.0
2019	3	35.0
2019	4	26.0
2019	5	34.0
2019	6	51.0
2019	7	38.0
2019	8	30.0
2019	9	31.0
2019	10	37.0
2019	11	36.0
2019	12	30.0
2019	13	41.0
2019	14	33.0
2019	15	28.0
2019	16	30.0
2019	17	31.0
2019	18	22.0
2019	19	35.0
2019	20	21.0
2019	21	33.0
2019	22	23.0
2019	23	27.0
2019	24	24.0
2019	25	32.0
2019	26	31.0
2019	27	32.0
2019	28	35.0
2019	29	41.0
2019	30	31.0
2019	31	25.0
2019	32	33.0
2019	33	22.0
2019	34	26.0
2019	35	38.0
2019	36	30.0
2019	37	29.0
2019	38	36.0
2019	39	29.0
2019	40	34.0
2019	41	40.0
2019	42	33.0
2019	43	23.0
2019	44	21.0
2019	45	32.0
2019	46	26.0
2019	47	28.0
2019	48	32.0
2019	49	29.0
2019	50	32.0
2019	51	23.0
2019	52	23.0
2019	53	NaN

2020	1	20.0
2020	2	34.0
2020	3	18.0
2020	4	29.0
2020	5	31.0
2020	6	31.0
2020	7	32.0
2020	8	28.0
2020	9	33.0
2020	10	32.0
2020	11	26.0
2020	12	20.0
2020	13	29.0
2020	14	27.0
2020	15	32.0
2020	16	26.0
2020	17	29.0
2020	18	38.0
2020	19	33.0
2020	20	28.0
2020	21	30.0
2020	22	20.0
2020	23	29.0
2020	24	33.0
2020	25	27.0
2020	26	30.0
2020	27	28.0
2020	28	28.0
2020	29	29.0
2020	30	24.0
2020	31	33.0
2020	32	29.0
2020	33	26.0
2020	34	25.0
2020	35	28.0
2020	36	24.0
2020	37	33.0
2020	38	26.0
2020	39	34.0
2020	40	36.0
2020	41	21.0
2020	42	31.0
2020	43	24.0
2020	44	42.0
2020	45	18.0
2020	46	21.0
2020	47	25.0
2020	48	27.0
2020	49	27.0
2020	50	24.0
2020	51	26.0
2020	52	30.0
2020	53	26.0
